# City name -> IANA time zone, sorted by name for binary search.
# Generated by scripts/cities.py from GeoNames cities15000 (https://www.geonames.org),
# licensed under CC BY 4.0. Do not edit by hand.
'abasan al kabirah	Asia/Gaza
agua dulce	America/Mexico_City
agua preta	America/Recife
agua prieta	America/Hermosillo
agua rasa	America/Sao_Paulo
aguachica	America/Bogota
aguada de pasajeros	America/Havana
aguadas	America/Bogota
aguadilla	America/Puerto_Rico
aguai	America/Sao_Paulo
aguas belas	America/Recife
aguas claras	America/Sao_Paulo
aguas de lindoia	America/Sao_Paulo
aguas formosas	America/Sao_Paulo
aguas lindas de goias	America/Sao_Paulo
aguas santas	Europe/Lisbon
aguascalientes	America/Mexico_City
aguascalientes by	America/Mexico_City
aguascalientes city	America/Mexico_City
aguaskal'entes	America/Mexico_City
aguaskalentes	America/Mexico_City
aguaskalientes	America/Mexico_City
aguaskalienti	America/Mexico_City
aguaskaljentesas	America/Mexico_City
aguaskaljenteso	America/Mexico_City
aguasukarientesu	America/Mexico_City
aguaytia	America/Lima
aguaytía	America/Lima
aguazul	America/Bogota
aguaí	America/Sao_Paulo
agudo	America/Sao_Paulo
agudos	America/Sao_Paulo
aguelmous	Africa/Casablanca
agui	Asia/Tokyo
aguie	Africa/Niamey
aguilares	America/Argentina/Tucuman
aguilas	Europe/Madrid
aguimes	Atlantic/Canary
aguié	Africa/Niamey
agulu	Africa/Lagos
agura	Asia/Kolkata
agustin codazzi	America/Bogota
agustín codazzi	America/Bogota
aguyasakyaliyentesa	America/Mexico_City
agvaskalijentes	America/Mexico_City
agwaseukallienteseu	America/Mexico_City
agwyaskalynts	America/Mexico_City
agía paraskeví	Europe/Athens
agía varvára	Europe/Athens
agüimes	Atlantic/Canary
ah lel	Asia/Yangon
ahabaja	Asia/Tehran
aham'madabad	Asia/Kolkata
ahamadabad	Asia/Kolkata
ahamadabada	Asia/Kolkata
ahamedabada	Asia/Kolkata
ahar	Asia/Tehran
ahaus	Europe/Berlin
ahavaza	Asia/Tehran
ahfir	Africa/Casablanca
ahigbe koffikro	Africa/Abidjan
ahigbé koffikro	Africa/Abidjan
ahilyanagar	Asia/Kolkata
ahimadabada	Asia/Kolkata
ahiwara	Asia/Kolkata
ahlat	Europe/Istanbul
ahlen	Europe/Berlin
ahlone	Asia/Yangon
ahmad	Asia/Kuwait
ahmadabad	Asia/Kolkata
ahmadabadas	Asia/Kolkata
ahmadabadi	Asia/Kolkata
ahmadabado	Asia/Kolkata
ahmadbayli	Asia/Baku
ahmadi	Asia/Kuwait
ahmadobod	Asia/Kolkata
ahmadpur	Asia/Kolkata
ahmadpur east	Asia/Karachi
ahmadpur sial	Asia/Karachi
ahmd abad	Asia/Kolkata
ahmdabad	Asia/Kolkata
ahmdabad hyndystan	Asia/Kolkata
ahmdy	Asia/Kuwait
ahmed bel hadj	Africa/Algiers
ahmedabad	Asia/Kolkata
ahmedgarh	Asia/Kolkata
ahmedi	Asia/Kuwait
ahn yang	Asia/Shanghai
ahor	Asia/Kolkata
ahouanou	Africa/Abidjan
ahram	Asia/Tehran
ahraura	Asia/Kolkata
ahrensburg	Europe/Berlin
ahu	Asia/Shanghai
ahuachapan	America/El_Salvador
ahuachapán	America/El_Salvador
ahualulco de mercado	America/Mexico_City
ahuntsic cartierville	America/Toronto
ahvaz	Asia/Tehran
ahvaz ahwaz	Asia/Tehran
ahvaza	Asia/Tehran
ahvazas	Asia/Tehran
ahvazi	Asia/Tehran
ahvazo	Asia/Tehran
ahvoz	Asia/Tehran
ahwa	Asia/Kolkata
ahwas	Asia/Tehran
ahwatukee foothills	America/Phoenix
ahwaz	Asia/Tehran
ahwiaa	Africa/Accra
ahīwāra	Asia/Kolkata
ai de meng dun	America/Edmonton
ai ding bao	Europe/London
ai er bi lei sheng	Asia/Baghdad
ai er pa suo	America/Denver
ai er zu lu mu	Europe/Istanbul
ai ha mai da ba de	Asia/Kolkata
ai ha mai de bao	Asia/Kolkata
ai luo de	Asia/Kolkata
ai mo xi yue	America/Hermosillo
ai nu gu	Africa/Lagos
ai sen	Europe/Berlin
ai si ji xie xi er	Europe/Istanbul
ai yin	Asia/Dubai
aibak	Asia/Kabul
aichach	Europe/Berlin
aidamatana	America/Edmonton
aidileda	Australia/Adelaide
aidin	Asia/Aden
aigaleo	Europe/Athens
aigio	Europe/Athens
aigáleo	Europe/Athens
aihara	Asia/Tokyo
aihui	Asia/Shanghai
aiken	America/New_York
aikhara	Asia/Tokyo
aileu	Asia/Dili
aimogasta	America/Argentina/La_Rioja
aimores	America/Sao_Paulo
aimorés	America/Sao_Paulo
aimstardaima	Europe/Amsterdam
ain arnat	Africa/Algiers
ain attig	Africa/Casablanca
ain beida	Africa/Algiers
ain beni mathar	Africa/Casablanca
ain bessem	Africa/Algiers
ain defla	Africa/Algiers
ain el aouda	Africa/Casablanca
ain el bya	Africa/Algiers
ain el hadjel	Africa/Algiers
ain fakroun	Africa/Algiers
ain harrouda	Africa/Casablanca
ain kercha	Africa/Algiers
ain m'lila	Africa/Algiers
ain oulmene	Africa/Algiers
ain oussera	Africa/Algiers
ain sefra	Africa/Algiers
ain smara	Africa/Algiers
ain sukhna	Africa/Cairo
ain taoujdat	Africa/Casablanca
ain taya	Africa/Algiers
ain temouchent	Africa/Algiers
ain touta	Africa/Algiers
ainadola	Africa/Lusaka
ainas	Asia/Dubai
aintab	Europe/Istanbul
aioi	Asia/Tokyo
aira	Asia/Tokyo
airazuruma	Europe/Istanbul
airdrie	America/Edmonton
airmadidi	Asia/Makassar
airoli	Asia/Kolkata
aisai	Asia/Tokyo
aisana	Europe/Berlin
aistala	Asia/Kolkata
ait melloul	Africa/Casablanca
ait ourir	Africa/Casablanca
ait yazza	Africa/Casablanca
aitarapat	Asia/Karachi
aiud	Europe/Bucharest
aix en provence	Europe/Paris
aix les bains	Europe/Paris
aizawl	Asia/Kolkata
aizu misato machi	Asia/Tokyo
aizu wakamatsu	Asia/Tokyo
ajab shir	Asia/Tehran
ajab shīr	Asia/Tehran
ajaccio	Europe/Paris
ajaigarh	Asia/Kolkata
ajalo	Europe/Oslo
ajalpan	America/Mexico_City
ajamera	Asia/Kolkata
ajamira	Asia/Kolkata
ajanur	Asia/Kolkata
ajaokuta	Africa/Lagos
ajapnyak	Asia/Yerevan
ajara	Asia/Kolkata
ajax	America/Toronto
ajdabiya	Africa/Tripoli
ajeetgarh	Asia/Kolkata
ajegunle	Africa/Lagos
ajiki	Asia/Tokyo
